Reference, Value, Footprint, Datasheet
"C7","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"R3","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C4","10nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R5","47","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C5","22nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R4","1.5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C6","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"R7","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R8","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C9","22nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C8","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"U2","74LS30","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS30"
"U3","MEA8000","Package_DIP:DIP-24_W15.24mm_LongPads",""
"Q1","P2N2907","Package_TO_SOT_THT:TO-92","~"
"C2","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C1","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"J2","AUDIO","Connector_Audio:Jack_3.5mm_PJ-307_Horizontal","~"
"J1","SLOT1","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal","~"
"U1","74LS04","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"Y1","4MHz","Crystal:Crystal_HC49-U_Vertical","~"
"R1","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C3","47pF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
